att_w_US,const_st,wf_rec,coast_rec,first_st,oper,NEP,rel,met,moral,instr,oper,att_w_US,const_st,wf_rec,coast_rec,first_st,mean_inst,abuse_nep,bal_r_nep,crisis_r_nep,spaceship_nep,bau_nep,comm_rel,wild_rel,iden_rel,kin_rel,health_rel2,other_rel,extract_r_ins,loss_r_ins,clean_inst,decade_r_mor,right_r_mor,kin_met,resp_met,iden_met,other_met,id_num,tech_r,gender,age,edu,income,employ,pol
5,4,4,3,4,2,2.60,3.33,3.25,3.00,3.67,2,5,4,4,3,4,3,3,3,2,3,2,4,4,4,2,2,4,3,4,4,3,3,4,3,3,3,R_3BPG1iRB2SAYv53,2,1,18,4,2,1,3
5,4,3,5,2,2,3.20,3.83,3.75,3.00,3.33,2,5,4,3,5,2,3.33,4,3,2,4,3,4,4,3,4,4,4,2,3,5,3,3,3,4,4,4,R_3Dw9IrzI1itpybr,1,2,31,5,7,1,3
4,3,3,4,4,2,4.20,4.00,3.25,5.00,4.00,2,4,3,3,4,4,3.33,4,4,4,5,4,4,3,4,4,4,5,3,4,5,5,5,3,3,3,4,R_3dybDH3gB3W6grX,3,1,29,7,6,2,3
4,4,3,2,2,1,3.80,2.83,3.75,4.50,3.33,1,4,4,3,2,2,2.67,5,4,2,5,3,3,4,5,3,1,1,1,4,5,4,5,5,4,3,3,R_3eHmgQHFnS4STL7,2,2,27,6,5,1,1
5,4,3,5,5,2,5.00,4.40,4.50,5.00,4.00,2,5,4,3,5,5,2.67,5,5,5,5,5,5,4,4,5,,4,2,5,5,5,5,4,5,4,5,R_3elaznfMNeSVX1j,2,1,30,7,10,1,1
5,4,3,2,3,2,5.00,3.33,2.50,4.00,3.00,2,5,4,3,2,3,2.33,5,5,5,5,5,4,3,2,3,3,5,2,4,3,4,4,2,2,1,5,R_3IqlfNx2hfYxxnD,2,1,26,6,5,1,1
5,4,5,5,5,2,4.20,4.17,4.50,4.00,4.33,2,5,4,5,5,5,3.67,5,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,5,4,5,R_3jIaGS3rqT5KQ29,3,1,41,6,11,2,3
5,4,4,4,5,2,4.80,4.33,4.50,4.50,4.33,2,5,4,4,4,5,3,4,5,5,5,5,4,5,4,4,4,5,3,5,5,5,4,4,5,4,5,R_3JiBpZ5qfHDbJtz,3,2,34,7,6,1,1
4,3,3,4,2,2,3.40,3.50,3.00,2.50,3.00,2,4,3,3,4,2,3.67,4,3,3,4,3,5,3,3,4,2,4,3,2,4,2,3,3,3,3,3,R_3K3bcpvjXtCH32B,3,1,21,6,7,5,1
2,3,3,1,3,2,2.00,2.17,1.00,2.00,2.67,2,2,3,3,1,3,3.33,2,2,2,2,2,2,2,2,2,2,3,2,2,4,2,2,1,1,1,1,R_3K4YYu69VKmc01n,3,2,44,6,7,1,3
5,4,5,5,5,2,5.00,5.00,5.00,5.00,4.67,2,5,4,5,5,5,3.33,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,R_3kM8DIimavIwNhj,3,1,28,4,5,3,3
5,,2,5,4,2,4.00,4.00,5.00,4.00,3.33,2,5,,2,5,4,2.67,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,5,5,5,5,R_3krtH3eq05A5Mpf,1,2,65,6,5,6,1
5,4,3,4,3,2,4.40,4.33,4.75,5.00,4.33,2,5,4,3,4,3,3,5,4,5,4,4,4,4,4,5,4,5,3,5,5,5,5,5,5,4,5,R_3LfDMnA3qEuedUx,2,1,33,6,7,1,3
5,4,4,2,5,1,4.80,3.67,2.75,1.50,3.33,1,5,4,4,2,5,3.33,5,4,5,5,5,3,3,4,3,4,5,2,3,5,2,1,2,3,2,4,R_3mAA8qe7emsvCbb,3,2,28,4,3,1,1
5,4,3,4,5,2,4.20,4.17,3.25,5.00,3.33,2,5,4,3,4,5,3.33,5,4,5,3,4,4,4,4,4,4,5,2,3,5,5,5,2,4,2,5,R_3mGJtMvjXL4RzEx,3,2,20,4,1,1,1
5,3,3,3,4,2,4.80,4.50,4.00,5.00,4.33,2,5,3,3,3,4,3.67,5,5,5,4,5,4,4,5,5,4,5,4,4,5,5,5,4,5,3,4,R_3mkdqQYUUok7oEZ,2,2,60,7,8,1,3
5,4,3,4,3,2,3.80,4.00,3.00,3.50,4.00,2,5,4,3,4,3,3.33,3,5,4,4,3,3,4,4,4,4,5,3,4,5,4,3,3,3,2,4,R_3mxEEvGPnogvQKp,1,1,22,6,1,5,3
5,4,3,3,3,2,5.00,4.17,3.50,5.00,4.67,2,5,4,3,3,3,3.33,5,5,5,5,5,5,3,4,4,4,5,4,5,5,5,5,3,5,2,4,R_3n6wJgesn7ivrbT,2,2,27,4,3,5,1
5,3,3,4,5,2,4.60,4.67,4.25,5.00,4.67,2,5,3,3,4,5,3.33,4,5,5,5,4,5,5,4,4,5,5,4,5,5,5,5,5,5,3,4,R_3OavzhNiGtTJt89,2,1,21,6,2,1,3
4,4,3,4,4,2,3.40,3.67,2.50,4.00,3.33,2,4,4,3,4,4,2.67,3,4,3,4,3,4,4,3,3,4,4,2,4,4,4,4,2,4,2,2,R_3pDAcn1zkHA76NT,1,1,22,6,1,3,5
4,4,3,2,3,1,4.00,4.50,4.25,3.50,4.33,1,4,4,3,2,3,3.67,4,4,4,4,4,4,4,5,5,4,5,4,4,5,3,4,5,5,3,4,R_3qvo4fVxSy5Fk0Z,2,1,42,5,1,6,3
